EPOCH,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION_DOT,BSTAR,TLE_LINE1,TLE_LINE2
2022-01-19 12:00:00.999648,50803,15.80969582,0.00039640,53.2176,136.8235,295.9069,22.0388,-0.00810053,-0.00447420000000,1 50803U 22001A   22019.50001157 -.00810053  00000-0 -44742-2 0  9996,2 50803  53.2176 136.8235 0003964 295.9069  22.0388 15.80969582  3281
2022-01-19 14:00:01.000224,50803,15.80760482,0.00043660,53.2171,136.4067,266.8558,165.6713,-0.00736639,-0.00407260000000,1 50803U 22001A   22019.58334491 -.00736639  00000-0 -40726-2 0  9999,2 50803  53.2171 136.4067 0004366 266.8558 165.6713 15.80760482  2555
2022-01-19 22:00:00.999936,50803,15.80251048,0.00022080,53.2172,134.7390,251.9789,278.2435,-0.00834770,-0.00478540000000,1 50803U 22001A   22019.91667824 -.00834770  00000-0 -47854-2 0  9999,2 50803  53.2172 134.7390 0002208 251.9789 278.2435 15.80251048  2601
2022-01-20 04:00:00.999936,50803,15.79808344,0.00005690,53.2172,133.4878,340.5669,172.4983,-0.00827624,-0.00484150000000,1 50803U 22001A   22020.16667824 -.00827624  00000-0 -48415-2 0  9992,2 50803  53.2172 133.4878 0000569 340.5669 172.4983 15.79808344  3393
2022-01-20 14:00:01.000224,50803,15.79073423,0.00012450,53.2173,131.4087,42.8028,320.7829,-0.00823384,-0.00497800000000,1 50803U 22001A   22020.58334491 -.00823384  00000-0 -49780-2 0  9994,2 50803  53.2173 131.4087 0001245  42.8028 320.7829 15.79073423  2711
2022-01-20 22:00:00.999936,50803,15.78487068,0.00010370,53.2173,129.7448,69.8771,29.3340,-0.00822172,-0.00510490000000,1 50803U 22001A   22020.91667824 -.00822172  00000-0 -51049-2 0  9995,2 50803  53.2173 129.7448 0001037  69.8771  29.3340 15.78487068  2763
2022-01-21 06:00:00.999648,50803,15.77900198,0.00012500,53.2175,128.0816,64.3650,129.7678,-0.00820132,-0.00522770000000,1 50803U 22001A   22021.25001157 -.00820132  00000-0 -52277-2 0  9992,2 50803  53.2175 128.0816 0001250  64.3650 129.7678 15.77900198  3560
2022-01-21 14:00:01.000224,50803,15.77314652,0.00013430,53.2175,126.4235,50.4292,237.9191,-0.00821401,-0.00537630000000,1 50803U 22001A   22021.58334491 -.00821401  00000-0 -53763-2 0  9999,2 50803  53.2175 126.4235 0001343  50.4292 237.9191 15.77314652  2877
2022-01-21 22:00:00.999936,50803,15.76728859,0.00010630,53.2173,124.7639,59.8247,322.0365,-0.00820740,-0.00551490000000,1 50803U 22001A   22021.91667824 -.00820740  00000-0 -55149-2 0  9990,2 50803  53.2173 124.7639 0001063  59.8247 322.0365 15.76728859  2928
2022-01-22 06:00:00.999648,50803,15.76142351,0.00013350,53.2174,123.1049,48.2096,66.4611,-0.00819086,-0.00564770000000,1 50803U 22001A   22022.25001157 -.00819086  00000-0 -56477-2 0  9995,2 50803  53.2174 123.1049 0001335  48.2096  66.4611 15.76142351  3722
