start_epoch,end_epoch,input_rx,input_ry,input_rz,input_vx,input_vy,input_vz,bstar,ndot,dt_minutes,f107,err_rx,err_ry,err_rz,err_vx,err_vy,err_vz
2023-11-15 19:53:47.049792,2023-11-16 19:44:34.266912,6911.723951826591,-314.6463460738688,0.8977232185990427,0.19816895285118422,4.540190127279638,6.082985824198702,4.1064e-05,3.66e-06,1430.786952,117.9,-0.09135803586559632,-0.4201310838667496,-0.9007585297983183,0.0009913814292909495,-1.7166054240291828e-06,8.067612584827799e-05
2023-11-16 19:44:34.266912,2023-11-17 19:35:21.439968,6866.220265489156,-851.7140496981086,0.0586411704617632,0.5516449955085303,4.510919283519514,6.083026479600667,0.00024449,3.604e-05,1430.7862176,119.6,0.04747242048779299,0.024991263921492646,-0.0633689567795582,-9.353771042275305e-06,-0.00012199429898629433,3.576177740693964e-05
2023-11-16 19:44:34.266912,2023-11-17 19:35:21.439968,6866.220265489156,-851.7140496981086,0.0586411704617632,0.5516449955085303,4.510919283519514,6.083026479600667,0.00024449,3.604e-05,1430.7862176,119.6,0.04747242048779299,0.024991263921492646,-0.0633689567795582,-9.353771042275305e-06,-0.00012199429898629433,3.576177740693964e-05
2023-11-17 19:35:21.439968,2023-11-18 19:26:08.026368,6778.906722276345,-1384.9669668017068,-2.3860671283120634,0.9040435022290089,4.453530804964858,6.083014781700917,0.00010778,1.428e-05,1430.77644,127.1,0.18488243050433084,1.7460847912400368,2.377577375852927,-0.002954946263907021,0.0009162627393184408,-9.700065629836274e-06
2023-11-18 08:18:26.281728,2023-11-19 08:09:13.111776,6715.977064625434,-1662.991261291791,0.7587345296866962,1.0842130062023612,4.4134148011537295,6.082978741395132,0.00011791,1.589e-05,1430.7805008,127.1,-0.1334516201468432,-0.4674467339880266,-0.7587056055855241,0.0009423140207445169,-0.00016245725307850734,-1.8393030280172695e-05
2023-11-18 19:26:08.026368,2023-11-19 19:16:54.838272,6651.284807923979,-1905.3485408522174,1.4433190441842652,1.2429533367863963,4.371370616912302,6.082963925256971,8.6201e-05,1.084e-05,1430.7801984,140.1,-0.26389245362497604,-0.8963375782461753,-1.443063264579332,0.0018257272886914588,-0.0005052539962058233,1.3071336466552452e-06
2023-11-19 08:09:13.111776,2023-11-20 08:00:00.042048,6566.495732126778,-2179.744283097438,1.5792167224138633,1.4231185639080635,4.31611526876052,6.082919284613989,0.00016645,2.362e-05,1430.7821712,140.1,-0.25735203752628877,-0.983481188231508,-1.588207650190967,0.0019297563160143305,-0.0008151413782906403,4.462722264797492e-05
2023-11-19 08:09:13.111776,2023-11-20 08:00:00.042048,6566.495732126778,-2179.744283097438,1.5792167224138633,1.4231185639080635,4.31611526876052,6.082919284613989,0.00016645,2.362e-05,1430.7821712,140.1,-0.25735203752628877,-0.983481188231508,-1.588207650190967,0.0019297563160143305,-0.0008151413782906403,4.462722264797492e-05
2023-11-23 09:07:44.717952,2023-11-24 08:58:31.885824,5561.4249358457255,-4116.067735995503,1.3978575623766298,2.6963836190613946,3.658121858718605,6.082946320280539,0.0001396,1.934e-05,1430.7861312,194.2,-0.924065413039898,-0.8288355225995474,-1.3967534837415463,0.0014528444394539264,-0.0009649455751943314,0.00027376565369952033
2023-11-23 09:07:44.717952,2023-11-24 08:58:31.885824,5561.4249358457255,-4116.067735995503,1.3978575623766298,2.6963836190613946,3.658121858718605,6.082946320280539,0.0001396,1.934e-05,1430.7861312,194.2,-0.924065413039898,-0.8288355225995474,-1.3967534837415463,0.0014528444394539264,-0.0009649455751943314,0.00027376565369952033
2023-11-24 08:58:31.885824,2023-11-25 07:13:56.208864,5249.232978374478,-4507.127658487633,4.743534100443959,2.9513086752013127,3.455819456891338,6.08316815477399,5.5983e-05,6.03e-06,1335.4053840000001,178.0,-1.9439926853910947,-1.8749501979682464,-4.745608580180336,0.004667690706017691,-0.003737962347055035,0.00021306256299880033
2023-11-25 04:03:10.109664,2023-11-26 05:29:19.014720,4902.5434307914,-4882.454018309736,-7.342332701652857,3.205717785374991,3.220928556702485,6.08287343247561,6.7598e-05,7.88e-06,1526.1484176000001,176.4,3.6253933196412618,4.187427351211227,7.340668524233343,-0.006812235311882464,0.007246389066712489,0.0002275670587223999
