name,norad_id,tle_line1,tle_line2,epoch,category
STARLINK-32484,62160,1 62160U 24224X   25344.22079842  .00073570  00000+0  26526-2 0  9995,2 62160  43.0034 303.6581 0001058 273.0949  86.9782 15.27627332 58792,2025-12-10 05:17:56.983488,starlink
STARLINK-32497,62161,1 62161U 24224Y   25344.25743073  .00054612  00000+0  19767-2 0  9998,2 62161  43.0006 306.5345 0001295 281.2880  78.7826 15.27625405 58753,2025-12-10 06:10:42.015072,starlink
STARLINK-32526,62162,1 62162U 24224Z   25344.26128507  .00052170  00000+0  18892-2 0  9994,2 62162  43.0010 306.5633 0000884 246.5899 113.4860 15.27629142 58753,2025-12-10 06:16:15.030048,starlink
STARLINK-32523,62165,1 62165U 24225C   25344.23548327  .00009640  00000+0  81445-3 0  9990,2 62165  70.0024  30.0812 0003096 272.1680  87.9125 14.98337379 56471,2025-12-10 05:39:05.754528,starlink
STARLINK-32551,62166,1 62166U 24225D   25344.27720037  .00005793  00000+0  49272-3 0  9992,2 62166  70.0020  29.8315 0003129 272.1489  87.9312 14.98343129 56485,2025-12-10 06:39:10.111968,starlink
STARLINK-32506,62167,1 62167U 24225E   25344.25217532  .00006265  00000+0  53195-3 0  9996,2 62167  70.0023  30.1396 0003999 294.7558  65.3185 14.98359980 56474,2025-12-10 06:03:07.947648,starlink
STARLINK-32562,62168,1 62168U 24225F   25344.28972695  .00011986  00000+0  10099-2 0  9999,2 62168  70.0020  29.8662 0002822 260.2161  99.8679 14.98357133 56484,2025-12-10 06:57:12.408480,starlink
STARLINK-32558,62169,1 62169U 24225G   25344.23131409  .00001518  00000+0  13507-3 0  9993,2 62169  70.0023  30.0659 0003029 268.1042  91.9770 14.98309538 56473,2025-12-10 05:33:05.537376,starlink
STARLINK-32538,62170,1 62170U 24225H   25344.31059145  .00003236  00000+0  27886-3 0  9994,2 62170  70.0022  29.9411 0003122 275.3251  84.7552 14.98336532 56486,2025-12-10 07:27:15.101280,starlink
STARLINK-32257,62171,1 62171U 24225J   25343.86415948 -.00327042  00000+0 -29052-1 0  9992,2 62171  70.0050  30.7971 0004456 205.0191 155.0753 14.97852806 56428,2025-12-09 20:44:23.379072,starlink
STARLINK-32407,62172,1 62172U 24225K   25344.28137370  .00005050  00000+0  43057-3 0  9993,2 62172  70.0018  29.8368 0003198 270.6525  89.4268 14.98341003 56483,2025-12-10 06:45:10.687680,starlink
STARLINK-32575,62173,1 62173U 24225L   25344.25812569  .00023762  00000+0  19902-2 0  9992,2 62173  70.0023  19.7519 0002662 272.6898  87.3957 14.98376617 56735,2025-12-10 06:11:42.059616,starlink
STARLINK-32552,62174,1 62174U 24225M   25344.26884318 -.00005224  00000+0 -43037-3 0  9997,2 62174  70.0018  29.7997 0003168 270.5249  89.5547 14.98327146 56484,2025-12-10 06:27:08.050752,starlink
STARLINK-32534,62175,1 62175U 24225N   25344.24802732  .00020972  00000+0  17598-2 0  9993,2 62175  70.0019  30.1241 0003197 275.9752  84.1043 14.98338844 56472,2025-12-10 05:57:09.560448,starlink
STARLINK-32516,62176,1 62176U 24225P   25344.23965830 -.00003179  00000+0 -25881-3 0  9999,2 62176  70.0022  30.0939 0002935 272.2749  87.8074 14.98324672 56473,2025-12-10 05:45:06.477120,starlink
STARLINK-32542,62177,1 62177U 24225Q   25344.29377481 -.00070291  00000+0 -59293-2 0  9997,2 62177  70.0035  29.8814 0003098 256.6839 103.3975 14.98414964 56482,2025-12-10 07:03:02.143584,starlink
STARLINK-32600,62178,1 62178U 24225R   25344.30822323  .00006610  00000+0  56105-3 0  9992,2 62178  70.0033  19.9267 0002879 269.6354  90.4475 14.98341886 56736,2025-12-10 07:23:50.487072,starlink
